plate,time
POFPR,2026-04-19 03:59:05
POFON,2026-04-19 03:59:06
95139,2026-04-19 04:03:11
795139,2026-04-19 04:03:12
72295139,2026-04-19 04:03:12
695139,2026-04-19 04:03:12
072295139,2026-04-19 04:03:13
95139,2026-04-19 04:03:13
72295139,2026-04-19 04:03:13
795139,2026-04-19 04:03:14
95139,2026-04-19 04:03:14
295139,2026-04-19 04:03:14
6BAE95139,2026-04-19 04:03:14
295139,2026-04-19 04:03:14
2795139,2026-04-19 04:03:15
0295139,2026-04-19 04:03:15
O295139,2026-04-19 04:03:15
O95139,2026-04-19 04:03:15
95139,2026-04-19 04:03:16
695139,2026-04-19 04:03:16
795139,2026-04-19 04:03:16
O95139,2026-04-19 04:03:17
56569,2026-04-19 04:03:20
56549,2026-04-19 04:03:21
56569,2026-04-19 04:03:23
56549,2026-04-19 04:03:24
42892,2026-04-19 04:03:26
AE3OE,2026-04-19 04:03:30
ASOTE,2026-04-19 04:03:31
POFPR,2026-04-19 04:03:31
POFON,2026-04-19 04:03:32
P62SS,2026-04-19 04:03:33
23061,2026-04-19 04:03:38
PFS28,2026-04-19 04:03:40
FF15283,2026-04-19 04:03:40
73061,2026-04-19 04:03:41
GF13283,2026-04-19 04:03:41
FF128,2026-04-19 04:03:41
95139,2026-04-19 04:04:44
795139,2026-04-19 04:04:45
72295139,2026-04-19 04:04:45
695139,2026-04-19 04:04:46
072295139,2026-04-19 04:04:46
95139,2026-04-19 04:04:46
72295139,2026-04-19 04:04:47
795139,2026-04-19 04:04:47
95139,2026-04-19 04:04:47
295139,2026-04-19 04:04:48
6BAE95139,2026-04-19 04:04:48
295139,2026-04-19 04:04:48
2795139,2026-04-19 04:04:49
0295139,2026-04-19 04:04:49
O295139,2026-04-19 04:04:49
O95139,2026-04-19 04:04:49
95139,2026-04-19 04:10:17
795139,2026-04-19 04:10:18
72295139,2026-04-19 04:10:18
695139,2026-04-19 04:10:18
072295139,2026-04-19 04:10:19
95139,2026-04-19 04:10:19
72295139,2026-04-19 04:10:19
795139,2026-04-19 04:10:20
95139,2026-04-19 04:10:20
295139,2026-04-19 04:10:20
6BAE95139,2026-04-19 04:10:20
295139,2026-04-19 04:10:20
2795139,2026-04-19 04:10:21
0295139,2026-04-19 04:10:21
O295139,2026-04-19 04:10:21
O95139,2026-04-19 04:10:22
95139,2026-04-19 04:10:22
695139,2026-04-19 04:10:22
795139,2026-04-19 04:10:23
O95139,2026-04-19 04:10:23
56569,2026-04-19 04:10:27
56549,2026-04-19 04:10:28
56569,2026-04-19 04:10:30
56549,2026-04-19 04:10:31
42892,2026-04-19 04:10:32
95139,2026-04-19 04:16:17
795139,2026-04-19 04:16:18
72295139,2026-04-19 04:16:18
695139,2026-04-19 04:16:18
072295139,2026-04-19 04:16:19
95139,2026-04-19 04:16:19
72295139,2026-04-19 04:16:19
795139,2026-04-19 04:16:19
95139,2026-04-19 04:16:20
295139,2026-04-19 04:16:20
6BAE95139,2026-04-19 04:16:20
295139,2026-04-19 04:16:20
2795139,2026-04-19 04:16:21
0295139,2026-04-19 04:16:21
O295139,2026-04-19 04:16:21
O95139,2026-04-19 04:16:21
95139,2026-04-19 04:16:22
695139,2026-04-19 04:16:22
795139,2026-04-19 04:16:22
O95139,2026-04-19 04:16:22
56569,2026-04-19 04:16:26
95139,2026-04-19 04:30:35
795139,2026-04-19 04:30:35
72295139,2026-04-19 04:30:35
695139,2026-04-19 04:30:36
072295139,2026-04-19 04:30:36
95139,2026-04-19 04:30:36
72295139,2026-04-19 04:30:37
795139,2026-04-19 04:30:37
95139,2026-04-19 04:30:37
295139,2026-04-19 04:30:37
6BAE95139,2026-04-19 04:30:38
295139,2026-04-19 04:30:38
2795139,2026-04-19 04:30:38
0295139,2026-04-19 04:30:38
O295139,2026-04-19 04:30:39
O95139,2026-04-19 04:30:39
95139,2026-04-19 04:30:46
695139,2026-04-19 04:30:46
795139,2026-04-19 04:30:46
O95139,2026-04-19 04:30:47
